Timestamp,Latitude,Longitude,Altitude,UTM Easting,UTM Northing,Zone,Letter,HDOP,GNGGA Read,Fix Quality,Current Time
1707594890.6959124,42.33724084166667,-72.75351993333334,0.0,685067.0358605538,4689664.95224383,18,T,8.7,"$GNGGA,172718.00,4220.2344505,N,07105.2111960,W,5,07,8.7,12.324,M,-28.727,M,1.0,0061*57
",5,1707604037.999999
1707594891.7052686,42.33724044,-71.08685486166667,0.0,328083.60017413413,4689329.820139955,19,T,8.7,"$GNGGA,172719.00,4220.2344264,N,07105.2112917,W,5,07,8.7,12.042,M,-28.727,M,2.0,0061*55
",5,1707604038.999999
1707594892.7139163,42.337240398333336,-71.08685684333334,0.0,328083.43680283707,4689329.819519735,19,T,8.7,"$GNGGA,172720.00,4220.2344239,N,07105.2114106,W,5,07,8.7,11.795,M,-28.727,M,1.0,0061*54
",5,1707604039.9999995
1707594893.7224596,42.33724026833333,-71.08685862,0.0,328083.2900795561,4689329.808676305,19,T,1.2,"$GNGGA,172721.00,4220.2344161,N,07105.2115172,W,1,06,1.2,11.428,M,-28.727,M,1.0,*52
",1,1707604040.9999995
1707594894.7317715,42.337239978333336,-71.08686081,0.0,328083.1088681716,4689329.780901782,19,T,1.3,"$GNGGA,172722.00,4220.2343987,N,07105.2116486,W,5,08,1.3,11.102,M,-28.727,M,2.0,0061*59
",5,1707604041.9999995
1707594895.7417629,45.670569883333336,-71.08685772333334,0.0,337454.2863287324,5059564.577772597,19,T,1.3,"$GNGGA,172723.00,4220.2341930,N,07105.2114634,W,5,08,1.3,10.987,M,-28.727,M,1.0,0061*58
",5,1707604042.9999993
1707594896.7513878,42.33723398833333,-71.08685539333334,0.0,328083.53879173973,4689329.104806552,19,T,1.9,"$GNGGA,172724.00,4220.2340393,N,07105.2113236,W,1,06,1.9,10.859,M,-28.727,M,2.0,*5A
",1,1707604043.999999
1707594897.7588031,42.337231511666666,-71.086853385,0.0,328083.6974972209,4689328.82573117,19,T,1.9,"$GNGGA,172725.00,4220.2338907,N,07105.2112031,W,1,06,1.9,10.656,M,-28.727,M,1.0,*55
",1,1707604044.9999993
1707594898.7668471,42.33722930333333,-71.086852195,0.0,328083.7895163168,4689328.578106667,19,T,1.5,"$GNGGA,172726.00,4220.2337582,N,07105.2111317,W,5,07,1.5,10.458,M,-28.727,M,1.0,0061*5E
",5,1707604045.9999995
1707594899.7753935,42.337227348333336,-71.08685168,0.0,328083.8266165264,4689328.359977615,19,T,1.5,"$GNGGA,172727.00,4220.2336409,N,07105.2111008,W,5,07,1.5,10.265,M,-28.727,M,2.0,0061*5A
",5,1707604046.9999993
1707594900.7811751,42.33722573,-71.08685063,0.0,328083.90870967635,4689328.178151163,19,T,1.9,"$GNGGA,172728.00,4220.2335438,N,07105.2110378,W,1,06,1.9,10.098,M,-28.727,M,1.0,*5C
",1,1707604047.9999995
1707594901.7902682,42.33722413,-71.086849515,0.0,328083.9962077568,4689327.9982290715,19,T,1.9,"$GNGGA,172729.00,4220.2334478,N,07105.2109709,W,1,06,1.9,9.958,M,-28.727,M,2.0,*6C
",1,1707604048.999999
1707594902.798669,42.337222295,-71.08684830666667,0.0,328084.0907546231,4689327.7920233235,19,T,1.3,"$GNGGA,172730.00,4220.2333377,N,07105.2108984,W,1,07,1.3,9.751,M,-28.727,M,1.0,*6E
",1,1707604049.9999993
1707594903.8071642,45.67055418333333,-71.08684732333333,0.0,337455.0509134289,5059562.812406965,19,T,1.3,"$GNGGA,172731.00,4220.2332510,N,07105.2108394,W,1,07,1.3,9.636,M,-28.727,M,1.0,*62
",1,1707604050.9999993
1707594904.815116,42.33721949666667,-71.08684635833333,0.0,328084.24364054,4689327.477350636,19,T,1.3,"$GNGGA,172732.00,4220.2331698,N,07105.2107815,W,1,07,1.3,9.548,M,-28.727,M,2.0,*65
",1,1707604051.9999995
