Timestamp,Latitude,Longitude,Altitude,UTM Easting,UTM Northing,Zone,Letter,HDOP,GNGGA Read,Fix Quality,Current Time
1707595475.737619,42.33823876833333,-72.75317418333333,0.0,685092.5922389091,4689776.5181191405,18,T,0.8,"$GNGGA,165259.00,4220.2943261,N,07105.1904510,W,5,18,0.8,23.187,M,-28.725,M,1.0,0061*5F
",5,1707601978.9999995
1707595476.9937558,42.33823877166667,-71.08650755833334,0.0,328114.93257417146,4689439.975134866,19,T,0.8,"$GNGGA,165300.00,4220.2943263,N,07105.1904535,W,5,18,0.8,23.188,M,-28.725,M,2.0,0061*5B
",5,1707601979.9999995
1707595478.2523203,42.338238778333334,-71.08650758166667,0.0,328114.9306700716,4689439.975922317,19,T,0.8,"$GNGGA,165301.00,4220.2943267,N,07105.1904549,W,5,18,0.8,23.189,M,-28.725,M,1.0,0061*57
",5,1707601980.9999995
1707595479.510403,42.33823879166667,-71.08650762166667,0.0,328114.92741109256,4689439.977483741,19,T,0.8,"$GNGGA,165302.00,4220.2943275,N,07105.1904573,W,5,18,0.8,23.189,M,-28.725,M,1.0,0061*5E
",5,1707601981.9999993
1707595480.7667298,42.338238796666666,-71.08650766,0.0,328114.9242667119,4689439.9781164415,19,T,0.8,"$GNGGA,165303.00,4220.2943278,N,07105.1904596,W,5,18,0.8,23.187,M,-28.725,M,1.0,0061*57
",5,1707601982.9999993
1707595482.0232391,42.33823879,-71.08650773166667,0.0,328114.91834444687,4689439.977521032,19,T,0.8,"$GNGGA,165304.00,4220.2943274,N,07105.1904639,W,5,18,0.8,23.184,M,-28.725,M,2.0,0061*5A
",5,1707601983.9999993
1707595483.281155,42.338238798333336,-71.08650775833334,0.0,328114.91617027984,4689439.978500292,19,T,0.8,"$GNGGA,165305.00,4220.2943279,N,07105.1904655,W,5,18,0.8,23.181,M,-28.725,M,1.0,0061*5A
",5,1707601984.9999993
1707595484.5347183,45.67157211666667,-71.08650782666666,0.0,337484.4414647741,5059675.214375165,19,T,0.8,"$GNGGA,165306.00,4220.2943270,N,07105.1904696,W,5,18,0.8,23.182,M,-28.725,M,2.0,0061*5F
",5,1707601985.9999995
1707595485.7883248,42.33823878166667,-71.08650786333334,0.0,328114.90747467795,4689439.976861839,19,T,0.8,"$GNGGA,165307.00,4220.2943269,N,07105.1904718,W,5,18,0.8,23.179,M,-28.725,M,1.0,0061*56
",5,1707601986.999999
1707595487.041197,42.33823876333334,-71.086507875,0.0,328114.9064635957,4689439.974849648,19,T,0.8,"$GNGGA,165308.00,4220.2943258,N,07105.1904725,W,5,18,0.8,23.172,M,-28.725,M,2.0,0061*5D
",5,1707601987.9999993
1707595488.2955248,42.33823877,-71.086507885,0.0,328114.90565793123,4689439.9756101435,19,T,0.8,"$GNGGA,165309.00,4220.2943262,N,07105.1904731,W,5,18,0.8,23.170,M,-28.725,M,1.0,0061*51
",5,1707601988.9999995
1707595489.5503592,42.33823878166667,-72.75317456666667,0.0,685092.5606194129,4689776.518765215,18,T,0.8,"$GNGGA,165310.00,4220.2943269,N,07105.1904740,W,5,18,0.8,23.170,M,-28.725,M,1.0,0061*54
",5,1707601989.9999995
1707595490.8064182,42.338238765,-71.08650789,0.0,328114.90523239516,4689439.9750650395,19,T,0.8,"$GNGGA,165311.00,4220.2943259,N,07105.1904734,W,5,18,0.8,23.170,M,-28.725,M,1.0,0061*55
",5,1707601990.9999993
1707595492.059636,42.33823874,-71.08650787833334,0.0,328114.9061254065,4689439.972265396,19,T,0.8,"$GNGGA,165312.00,4220.2943244,N,07105.1904727,W,5,18,0.8,23.174,M,-28.725,M,1.0,0061*5C
",5,1707601991.9999993
1707595493.3137612,42.33823872833333,-71.08650788,0.0,328114.90595631406,4689439.97097327,19,T,0.8,"$GNGGA,165313.00,4220.2943237,N,07105.1904728,W,5,18,0.8,23.179,M,-28.725,M,2.0,0061*58
",5,1707601992.9999993
1707595494.5681431,42.338238718333336,-71.08650790666667,0.0,328114.90373219387,4689439.9699167535,19,T,0.8,"$GNGGA,165314.00,4220.2943231,N,07105.1904744,W,5,18,0.8,23.183,M,-28.725,M,1.0,0061*55
",5,1707601993.9999995
1707595495.8205235,42.33823871333333,-71.08650791833334,0.0,328114.90275743906,4689439.969385125,19,T,0.8,"$GNGGA,165315.00,4220.2943228,N,07105.1904751,W,5,18,0.8,23.184,M,-28.725,M,2.0,0061*5C
",5,1707601994.9999998
1707595497.0736575,42.338238708333336,-71.086507915,0.0,328114.9030184238,4689439.968823175,19,T,0.8,"$GNGGA,165316.00,4220.2943225,N,07105.1904749,W,5,18,0.8,23.184,M,-28.725,M,1.0,0061*58
",5,1707601995.9999993
1707595498.3269846,42.338238735,-71.08650794666667,0.0,328114.9004822952,4689439.971848318,19,T,0.8,"$GNGGA,165317.00,4220.2943241,N,07105.1904768,W,5,18,0.8,23.182,M,-28.725,M,1.0,0061*5E
",5,1707601996.9999993
1707595499.5812259,42.33823874666667,-71.08650800166667,0.0,328114.8959830334,4689439.9732549945,19,T,0.8,"$GNGGA,165318.00,4220.2943248,N,07105.1904801,W,5,18,0.8,23.178,M,-28.725,M,2.0,0061*5E
",5,1707601997.9999993
1707595500.8353198,42.338238725,-71.08650801833333,0.0,328114.894550952,4689439.970882767,19,T,0.8,"$GNGGA,165319.00,4220.2943235,N,07105.1904811,W,5,18,0.8,23.176,M,-28.725,M,1.0,0061*59
",5,1707601998.9999993
1707595502.0889359,42.338238705,-71.08650804,0.0,328114.89271149936,4689439.968705718,19,T,0.8,"$GNGGA,165320.00,4220.2943223,N,07105.1904824,W,5,18,0.8,23.169,M,-28.725,M,2.0,0061*5F
",5,1707601999.999999
1707595503.3421984,42.338238671666666,-71.08650804333334,0.0,328114.89234606305,4689439.965011044,19,T,0.8,"$GNGGA,165321.00,4220.2943203,N,07105.1904826,W,5,18,0.8,23.170,M,-28.725,M,1.0,0061*55
",5,1707602000.9999993
1707595504.5955656,42.338238653333335,-71.086508055,0.0,328114.8913349807,4689439.962998851,19,T,0.8,"$GNGGA,165322.00,4220.2943192,N,07105.1904833,W,5,18,0.8,23.172,M,-28.725,M,1.0,0061*5B
",5,1707602001.999999
1707595505.848314,42.33823867,-72.75317475,0.0,685092.5458434217,4689776.505966247,18,T,0.8,"$GNGGA,165323.00,4220.2943202,N,07105.1904850,W,5,18,0.8,23.171,M,-28.725,M,2.0,0061*55
",5,1707602002.9999993
1707595507.1013396,42.338238698333335,-71.08650810166667,0.0,328114.88761306356,4689439.968090093,19,T,0.8,"$GNGGA,165324.00,4220.2943219,N,07105.1904861,W,5,18,0.8,23.174,M,-28.725,M,1.0,0061*5C
",5,1707602003.999999
1707595508.3544428,42.338238696666664,-71.08650811166666,0.0,328114.8867846952,4689439.967925237,19,T,0.8,"$GNGGA,165325.00,4220.2943218,N,07105.1904867,W,5,18,0.8,23.179,M,-28.725,M,1.0,0061*57
",5,1707602004.9999993
1707595509.6086533,42.33823874,-71.08650817,0.0,328114.8820971055,4689439.972854993,19,T,0.8,"$GNGGA,165326.00,4220.2943244,N,07105.1904902,W,5,18,0.8,23.180,M,-28.725,M,2.0,0061*5A
",5,1707602005.9999993
